"","x","X2000","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070"
"1","Angola",16440.924,19552.542,23369.131,27859.305,32827.401,38431.208,44712.282,51664.864,59249.002,67399.148,76046.053,85132.12,94596.081,104370.664,114365.294
"2","ArabicMiddleEast",98213.343,110818.85,129648.409,143736.793,156043.643,169803.435,181806.494,192546.867,202466.983,211496.358,219442.435,226098.044,231412.904,235459.424,238405.381
"3","ArabicWestAfrica",2709.359,3130.72,3609.543,4182.341,4783.767,5416.711,6076.668,6766.329,7482.408,8218.228,8965,9713.321,10457.086,11190.525,11907.842
"4","AustrailiaNewZealand",22924.836,24374.258,26490.126,28414.088,30232.597,31889.376,33447.845,34896.233,36266.813,37596.921,38898.302,40122.825,41267.976,42339.925,43348.087
"5","BalkanPeninsula",29554.759,29518.438,29503.649,28960.936,28685.368,28322.239,27893.613,27396.746,26831.204,26202.285,25516.482,24785.715,24023.024,23251.091,22496.811
"6","Brazil",175287.587,186917.361,196796.269,205962.108,213863.046,220370.552,225472.214,229202.582,231601.656,232724.279,232688.044,231537.607,229293.394,226036.562,221895.313
"7","BritishIsles",62872.178,64575.849,68013.843,70180.354,72308.095,74226.306,75889.257,77364.333,78750.364,80074.835,81279.914,82262.495,83026.637,83695.095,84365.066
"8","Canada",30735.773,32287.98,34168.668,35949.709,37603.205,39172.922,40617.535,41888.356,43004.685,44011.31,44948.602,45804.729,46629.079,47447.273,48239.73
"9","Caribbean",38403.986,40115.79,41724.731,43309.611,44679.436,45881.495,46887.034,47629.038,48106.579,48317.647,48258.247,47961.531,47450.309,46762.872,45963.427
"10","CentralAmerica",137992.226,148211.558,160556.595,172635.109,184127.254,194811.929,204496.472,213028.55,220399.238,226589.703,231562.992,235294.443,237729.575,238889.817,238851.343
"11","ChineseAsia",1314528.274,1354063.142,1393132.348,1431337.828,1459775.102,1474753.084,1477626.637,1470218.098,1454145.891,1430754.814,1400431.326,1363974.03,1323622.804,1282425.137,1242554.21
"12","EastAfrica",236335.605,271853.057,313782.635,361315.809,413643.708,469965.35,530203.134,593929.527,660392.822,728846.602,798474.196,868565.449,938327.12,1006982.925,1073831.664
"13","EasternEurope",303957.552,297510.641,294540.681,293243.708,290776.392,286798.893,281412.548,275213.665,269142.879,263659.144,258519.068,253298.139,247755.09,241973.917,236430.378
"14","FrenchEurope",70326.337,72238.628,74473.368,76311.882,77945.081,79303.195,80570.729,81727.596,82680.619,83382.686,83893.147,84301.983,84671.34,85074.186,85542.794
"15","FrenchWestAfrica",232798.938,265476.929,304171.621,348431.521,397795.125,452334.805,512369.81,577893.877,648387.66,722999.204,800753.821,880856.168,962425.803,1044824.143,1127180.636
"16","GermanEurope",112683.757,113737.202,113855.625,115682.117,117213.088,117742.437,117971.53,117848.614,117391.269,116614.105,115556.915,114280.513,112993.685,111899.083,111013.708
"17","IndianSubcontinent",1366532.089,1487599.762,1602003.617,1710211.49,1813973.836,1911390.966,1998886.165,2074475.446,2137122.833,2187639.637,2226314.989,2253106.557,2267879.492,2271182.006,2263898.484
"18","ItalianEurope",64843.763,66265.719,66998.485,66663.58,66190.054,65572.909,64939.121,64219.938,63386.788,62396.529,61217.686,59852.366,58396.452,57006.439,55821.556
"19","Japan",127533.934,128335.767,128551.873,127974.958,126495.647,124309.808,121580.505,118499.79,115212.067,111923.238,108794.446,105805.496,102747.177,99543.48,96369.242
"20","Korea",70315.387,72612.664,74144.454,75837.579,77347.838,78570.217,79445.712,79777.845,79443.936,78553.449,77265.512,75717.971,74042.347,72339.255,70633.073
"21","Madagascar",15766.806,18336.724,21151.64,24234.088,27690.798,31500.077,35591.943,39891.388,44367.656,49012.988,53802.574,58686.533,63594.676,68473.226,73274.376
"22","Melanesia",7193.988,8048.467,8983.311,9933.15,10908.734,11901.5,12904.782,13906.944,14890.921,15844.125,16754.472,17619.076,18430.218,19180.91,19865.473
"23","MiddleAfrica",79657.944,92401.506,107982.268,125883.419,146131.864,168529.516,193058.257,219650.014,247971.86,277541.58,307958.452,338919.486,370057.034,401087.816,431498.551
"24","NordicCountries",31522.958,31646.763,32140.303,32753.18,33387.46,34011.963,34571.093,35012.029,35384.438,35745.604,36122.331,36485.028,36819.191,37133.408,37441.021
"25","NorthAfrica",172558.87,187832.255,204310.19,225135.657,246049.308,266010.349,285204.354,304305.182,323510.547,342230.296,359904.882,376168.929,390953.305,404450.847,416747.065
"26","PersianMiddleEast",86225.61,95492.609,103370.678,113096.981,121642.07,129118.181,135562.853,141386.329,146813.585,151659.401,155481.572,157981.292,159109.765,159033.813,158005.661
"27","Portugal",10355.117,10565.723,10652.321,10418.473,10218.413,10047.807,9877.056,9696.318,9495.169,9262.006,8994.594,8696.394,8384.349,8076.508,7789.338
"28","RussianAsia",49343.132,51883.662,55514.817,60156.354,64345.877,67862.491,70778.291,73383.41,75834.985,78071.763,79910.068,81240.296,82091.119,82591.33,82865.181
"29","Somalia",9011.479,10409.925,12053.223,13908.129,16105.174,18665.849,21535.019,24699.613,28145.899,31869.275,35851.792,40049.539,44409.572,48875.776,53406.176
"30","SoutheastAsia",524657.117,561770.198,597327.771,634609.846,669016.297,700416.811,727991.019,751432.871,770769.941,786163.367,797648.622,805461.6,809854.05,811276.669,810210.279
"31","SouthernAfrica",52286.079,55764.05,59016.093,63419.639,67595.044,71396.228,74786.037,77902.903,80793.877,83444.005,85799.991,87834.862,89532.405,90904.932,91959.465
"32","Spain",40903.711,44042.632,46788.63,46397.664,46459.219,46306.82,46115.125,45860.815,45538.502,45079.683,44394.558,43437.294,42272.217,41025.211,39842.942
"33","SpanishSouthAmerica",174111.174,186411.162,198483.935,210474.003,221803.802,232217.902,241627.671,249875.859,256919.54,262742.704,267331.918,270729.107,272983.322,274148.645,274286.869
"34","Tajikistan",6216.205,6854.176,7641.63,8548.651,9475.246,10360.358,11194.411,12022.921,12876.073,13727.805,14521.291,15233.335,15873.917,16466.436,17015.383
"35","TurkishMiddleEast",86805.534,94911.832,103089.615,114387.121,125338.635,133324.504,141714.275,150736.248,159732.802,168568.474,177117.238,185312.895,193083.795,200482.809,207502.573
"36","USA",282053.078,295200.892,308711.621,319997.455,331498.58,343322.549,354777.822,365099.165,374132.834,382121.364,389652.42,397077.083,404619.769,412110.799,419216.815
